user_id,timestamp,device_type,location,age_group,gender,ad_id,content_type,ad_topic,ad_target_audience,click_through_rate,conversion_rate,engagement_level,view_time,cost_per_click,ROI,month,hour,channel
218,2025-02-15 00:21:00 UTC,Desktop,India,55+,Female,A1463,Image,Automotive,Tech Enthusiasts,0.120650547,0.0714,Shared,26,0.53,1.63,2025-02,0,Programmatic Display
139,2025-07-19 00:29:00 UTC,Mobile,Canada,55+,Male,A7129,Image,Health,Travel Lovers,0.070648667,0.0687,Shared,44,0.38,1.28,2025-07,0,Programmatic Display
745,2025-03-29 00:43:00 UTC,Mobile,UK,55+,Male,A5673,Image,Travel,Young Adults,0.024588053,0.0183,Liked,27,0.3,0.15,2025-03,0,Programmatic Display
887,2025-07-31 00:16:00 UTC,Mobile,USA,18-24,Female,A1078,Image,Fashion,Travel Lovers,0.061991982,0.0935,Liked,42,0.95,0.61,2025-07,0,Programmatic Display
991,2025-09-15 00:01:00 UTC,Desktop,India,18-24,Male,A6464,Image,Automotive,Travel Lovers,0.1445809969,0.1262,Commented,47,1.18,1.55,2025-09,0,Programmatic Display
387,2025-03-24 00:42:00 UTC,Tablet,UK,25-34,Male,A1566,Image,Automotive,Young Adults,0.095355516,0.067,Commented,29,1.38,0.46,2025-03,0,Programmatic Display
924,2025-03-27 00:04:00 UTC,Desktop,Germany,25-34,Male,A9947,Image,Health,Tech Enthusiasts,0.041084701,0.1313,Commented,37,1.2,0.45,2025-03,0,Programmatic Display
450,2025-01-26 00:25:00 UTC,Mobile,USA,18-24,Female,A8613,Image,Automotive,Family Oriented,0.090502973,0.0208,Commented,28,0.78,0.24,2025-01,0,Programmatic Display
414,2025-02-26 00:44:00 UTC,Tablet,UK,35-44,Female,A9624,Image,Fashion,Fitness Lovers,0.071605836,0.0595,Liked,40,0.82,0.52,2025-02,0,Programmatic Display
511,2025-07-03 00:30:00 UTC,Mobile,India,25-34,Male,A1187,Image,Electronics,Tech Enthusiasts,0.06412029,0.0223,Liked,20,0.53,0.27,2025-07,0,Programmatic Display
958,2025-12-19 00:26:00 UTC,Tablet,Canada,55+,Female,A1441,Image,Electronics,Family Oriented,0.086432846,0.0658,Shared,54,1.36,0.42,2025-12,0,Programmatic Display
772,2025-10-11 00:11:00 UTC,Mobile,Canada,55+,Male,A7168,Image,Electronics,Fitness Lovers,0.074321566,0.0571,Shared,42,1.23,0.35,2025-10,0,Programmatic Display
735,2025-11-22 00:11:00 UTC,Tablet,USA,45-54,Female,A7597,Text,Health,Family Oriented,0.056174447,0.0249,Shared,10,1.11,0.13,2025-11,0,Paid Search
188,2025-03-17 00:20:00 UTC,Desktop,Germany,55+,Male,A4427,Text,Automotive,Young Adults,0.074630211,0.0186,Liked,39,0.54,0.26,2025-03,0,Paid Search
700,2025-10-22 00:31:00 UTC,Mobile,USA,55+,Male,A1929,Text,Automotive,Travel Lovers,0.064847739,0.0925,Liked,48,0.48,1.25,2025-10,0,Paid Search
